video_id,notflip_frames,flip_frames,within_sequence_median_adjacent_mae,notflip_to_flip_boundary_mae,notflip_to_flip_boundary_ratio_vs_within,notflip_to_flip_cross_id_percentile_mae,notflip_to_flip_boundary_dhash,notflip_to_flip_cross_id_percentile_dhash,notflip_to_flip_composite_percentile,flip_to_notflip_boundary_mae,flip_to_notflip_boundary_ratio_vs_within,flip_to_notflip_cross_id_percentile_mae,flip_to_notflip_boundary_dhash,flip_to_notflip_cross_id_percentile_dhash,flip_to_notflip_composite_percentile,preferred_direction_by_composite,direction_margin
0021,8,21,0.010027956566773355,0.08604664355516434,8.58067573210991,0.234375,24.0,0.484375,0.359375,0.09074850380420685,9.049550942900279,0.0196078431372549,23.0,0.37254901960784315,0.19607843137254902,flip->notflip,0.16329656862745098
0023,30,14,0.014467965811491013,0.07186191529035568,4.966967452555092,0.15625,18.0,0.296875,0.2265625,0.06387867778539658,4.415180310604666,0.0,15.0,0.0392156862745098,0.0196078431372549,flip->notflip,0.2069546568627451
0024,30,12,0.011947572464123368,0.03923451527953148,3.2838901289233773,0.015625,11.0,0.03125,0.0234375,0.06650231778621674,5.566178232934972,0.058823529411764705,18.0,0.23529411764705882,0.14705882352941177,notflip->flip,0.12362132352941177
0025,30,11,0.011471019824966788,0.04369734227657318,3.809368560366837,0.03125,16.0,0.125,0.078125,0.05605213716626167,4.886412718445804,0.0196078431372549,14.0,0.058823529411764705,0.0392156862745098,flip->notflip,0.0389093137254902
0026,30,15,0.011237888596951962,0.09381638467311859,8.348221631113542,0.34375,20.0,0.140625,0.2421875,0.10405497252941132,9.25929916742848,0.1568627450980392,19.0,0.3333333333333333,0.24509803921568626,notflip->flip,0.002910539215686264
0027,30,10,0.011837947997264564,0.13192370533943176,11.144136244720439,0.453125,32.0,0.765625,0.609375,0.16402101516723633,13.855527596939709,0.9607843137254902,35.0,1.0,0.9803921568627452,notflip->flip,0.37101715686274517
0028,30,28,0.008298387983813882,0.1110236719250679,13.378944457841822,0.296875,11.0,0.046875,0.171875,0.12539604306221008,15.110891814988255,0.37254901960784315,19.0,0.2549019607843137,0.3137254901960784,notflip->flip,0.14185049019607843
0029,30,20,0.008461148478090763,0.11974029242992401,14.151777709607467,0.359375,18.0,0.296875,0.328125,0.12500575184822083,14.774087958852137,0.3137254901960784,16.0,0.1568627450980392,0.23529411764705882,flip->notflip,0.09283088235294118
0030,30,38,0.005969478050246835,0.14575675129890442,24.417000962567815,0.46875,20.0,0.3125,0.390625,0.15787187218666077,26.446511882246195,0.6666666666666666,17.0,0.0784313725490196,0.37254901960784315,flip->notflip,0.018075980392156854
0031,30,15,0.009545659413561225,0.13668331503868103,14.318897115111739,0.359375,23.0,0.390625,0.375,0.13210466504096985,13.839239314708088,0.37254901960784315,17.0,0.13725490196078433,0.2549019607843137,flip->notflip,0.12009803921568629
0032,30,9,0.013950003776699305,0.12274305522441864,8.798782938642383,0.34375,26.0,0.46875,0.40625,0.11005030572414398,7.8889086688249535,0.21568627450980393,16.0,0.11764705882352941,0.16666666666666669,flip->notflip,0.23958333333333331
0033,30,11,0.011580403428524733,0.12526297569274902,10.816805862238143,0.40625,32.0,0.84375,0.625,0.14490815997123718,12.513222088126987,0.5490196078431373,27.0,0.5490196078431373,0.5490196078431373,flip->notflip,0.0759803921568627
0034,30,13,0.010525572579354048,0.13718914985656738,13.033889493638041,0.546875,27.0,0.609375,0.578125,0.11978529393672943,11.380406437146114,0.0784313725490196,31.0,0.7843137254901961,0.43137254901960786,flip->notflip,0.14675245098039214
0035,32,16,0.012605794705450535,0.06559755653142929,5.203762084358394,0.09375,13.0,0.15625,0.125,0.07244530320167542,5.746984215945646,0.1568627450980392,16.0,0.11764705882352941,0.13725490196078433,notflip->flip,0.012254901960784326
0036,30,21,0.007181803346611559,0.07005718350410461,9.754817853256625,0.0625,11.0,0.046875,0.0546875,0.07233072817325592,10.07138801807797,0.11764705882352941,9.0,0.0,0.058823529411764705,notflip->flip,0.004136029411764705
0037,30,26,0.008713426534086466,0.051312293857336044,5.88887662696243,0.0625,11.0,0.078125,0.0703125,0.05438431724905968,6.241438662082143,0.09803921568627451,14.0,0.09803921568627451,0.09803921568627451,notflip->flip,0.02772671568627451
0038,30,46,0.006295955972746015,0.06084877997636795,9.66474038887353,0.109375,17.0,0.125,0.1171875,0.09359043091535568,14.865166039993085,0.13725490196078433,16.0,0.1568627450980392,0.14705882352941177,notflip->flip,0.02987132352941177
0039,30,21,0.011842256877571344,0.0882222056388855,7.449779763346803,0.0625,20.0,0.21875,0.140625,0.09646745771169662,8.146036579767264,0.23529411764705882,19.0,0.2549019607843137,0.24509803921568626,notflip->flip,0.10447303921568626
0040,30,25,0.009241919498890638,0.06601594388484955,7.143098778643747,0.109375,20.0,0.25,0.1796875,0.09566514194011688,10.351219998356417,0.0784313725490196,19.0,0.13725490196078433,0.10784313725490197,flip->notflip,0.07184436274509803
0041,37,20,0.009173464612103999,0.16948433220386505,18.47549855702693,0.609375,28.0,0.5625,0.5859375,0.1850104033946991,20.167996631347517,0.9803921568627451,32.0,0.9803921568627451,0.9803921568627451,notflip->flip,0.39445465686274506
