video_id,notflip_frames,flip_frames,mean_full_l1_distance,mean_full_l1_rank_notflip_to_flip,mean_full_l1_pct_notflip_to_flip,mean_full_l1_rank_flip_to_notflip,mean_full_l1_pct_flip_to_notflip,median_full_l1_distance,median_full_l1_rank_notflip_to_flip,median_full_l1_pct_notflip_to_flip,median_full_l1_rank_flip_to_notflip,median_full_l1_pct_flip_to_notflip,border_l1_distance,border_l1_rank_notflip_to_flip,border_l1_pct_notflip_to_flip,border_l1_rank_flip_to_notflip,border_l1_pct_flip_to_notflip,center_l1_distance,center_l1_rank_notflip_to_flip,center_l1_pct_notflip_to_flip,center_l1_rank_flip_to_notflip,center_l1_pct_flip_to_notflip,color_hist_cosine_distance,color_hist_cosine_rank_notflip_to_flip,color_hist_cosine_pct_notflip_to_flip,color_hist_cosine_rank_flip_to_notflip,color_hist_cosine_pct_flip_to_notflip,composite_mean_percentile,composite_median_percentile
0011,30,26,0.17553086578845978,54.0,0.828125,34.0,0.6470588235294118,0.1828356385231018,54.0,0.828125,35.0,0.6666666666666666,0.16640622913837433,44.0,0.671875,32.0,0.6078431372549019,0.1897653043270111,65.0,1.0,34.0,0.6470588235294118,0.07198578119277954,4.0,0.046875,11.0,0.19607843137254902,0.6139705882352942,0.6568627450980392
0015,30,30,0.07048460096120834,6.0,0.078125,1.0,0.0,0.09447652101516724,9.0,0.125,1.0,0.0,0.05500958859920502,2.0,0.015625,1.0,0.0,0.09462563693523407,13.0,0.1875,1.0,0.0,0.018583953380584717,1.0,0.0,1.0,0.0,0.040625,0.0
0016,25,29,0.1104356124997139,23.0,0.34375,5.0,0.0784313725490196,0.11698165535926819,28.0,0.421875,6.0,0.09803921568627451,0.09433688223361969,21.0,0.3125,5.0,0.0784313725490196,0.1355496495962143,59.0,0.90625,5.0,0.0784313725490196,0.12792420387268066,33.0,0.5,29.0,0.5490196078431373,0.336672794117647,0.328125
0019,30,19,0.1081024631857872,23.0,0.34375,6.0,0.09803921568627451,0.11249139159917831,27.0,0.40625,5.0,0.0784313725490196,0.08999557793140411,16.0,0.234375,5.0,0.0784313725490196,0.13634920120239258,58.0,0.890625,6.0,0.09803921568627451,0.10035198926925659,24.0,0.359375,24.0,0.45098039215686275,0.3038296568627451,0.2890625
0020,21,20,0.09487251192331314,16.0,0.234375,5.0,0.0784313725490196,0.09521181136369705,15.0,0.21875,2.0,0.0196078431372549,0.07455473393201828,13.0,0.1875,2.0,0.0196078431372549,0.1265682578086853,52.0,0.796875,8.0,0.13725490196078433,0.07636326551437378,28.0,0.421875,7.0,0.11764705882352941,0.22319240196078433,0.16237745098039216
0021,8,21,0.0911228284239769,20.0,0.296875,2.0,0.0196078431372549,0.10355726629495621,22.0,0.328125,4.0,0.058823529411764705,0.07244463264942169,13.0,0.1875,2.0,0.0196078431372549,0.1202608123421669,45.0,0.6875,3.0,0.0392156862745098,0.07037991285324097,24.0,0.359375,13.0,0.23529411764705882,0.22319240196078433,0.2113970588235294
0023,30,14,0.06108996272087097,9.0,0.125,5.0,0.0784313725490196,0.05988259240984917,6.0,0.078125,4.0,0.058823529411764705,0.061542920768260956,10.0,0.140625,5.0,0.0784313725490196,0.06038334593176842,8.0,0.109375,4.0,0.058823529411764705,0.05445992946624756,22.0,0.328125,17.0,0.3137254901960784,0.1369485294117647,0.0939031862745098
0024,30,12,0.053146082907915115,5.0,0.0625,3.0,0.0392156862745098,0.055544864386320114,5.0,0.0625,3.0,0.0392156862745098,0.045379865914583206,5.0,0.0625,3.0,0.0392156862745098,0.06526138633489609,7.0,0.09375,4.0,0.058823529411764705,0.04845309257507324,17.0,0.25,7.0,0.11764705882352941,0.08253676470588237,0.0625
0025,30,11,0.03902626782655716,3.0,0.03125,2.0,0.0196078431372549,0.04129822179675102,1.0,0.0,2.0,0.0196078431372549,0.032351989299058914,3.0,0.03125,1.0,0.0,0.04943814128637314,4.0,0.046875,2.0,0.0196078431372549,0.029077649116516113,8.0,0.109375,4.0,0.058823529411764705,0.03363970588235295,0.02542892156862745
0026,30,15,0.0884062647819519,21.0,0.3125,7.0,0.11764705882352941,0.08575224131345749,16.0,0.234375,8.0,0.13725490196078433,0.0861518532037735,18.0,0.265625,7.0,0.11764705882352941,0.09192313998937607,20.0,0.296875,8.0,0.13725490196078433,0.1412166953086853,36.0,0.546875,34.0,0.6470588235294118,0.2813112745098039,0.25
