sequence_a,sequence_b,label_a,label_b,video_id_a,video_id_b,same_numeric_video_id,border_l1,center_l1,hist_cosine,edge_l1,coarse_l1,border_l1_pct,center_l1_pct,hist_cosine_pct,edge_l1_pct,coarse_l1_pct,composite_pct,rank_a_to_b,rank_b_to_a,reciprocal_top3
notflip__0044,notflip__0056,notflip,notflip,0044,0056,0,0.0025860369205474854,0.007837860845029354,0.017922520637512207,0.02947256527841091,0.031035374850034714,0.004716285924834193,0.022697126013264554,0.05055268975681651,0.07840825350036847,0.016359616801768607,0.031039056742815034,9,3,0
flip__0037,flip__0038,flip,flip,0037,0038,0,0.002297602593898773,0.011909190565347672,0.013166606426239014,0.025307796895503998,0.03941798955202103,0.003389830508474576,0.052468680913780395,0.03330876934414149,0.04377302873986735,0.044657332350773765,0.031179071481208548,5,1,0
flip__0043,flip__0045,flip,flip,0043,0045,0,0.0053552561439573765,0.010255075059831142,0.025335848331451416,0.02342301234602928,0.024919597432017326,0.028887251289609433,0.039056742815033164,0.0735445836403832,0.031540162122328665,0.005453205600589536,0.03127487103905675,3,2,1
flip__0029,notflip__0016,flip,notflip,0029,0016,0,0.005196174141019583,0.009833448566496372,0.012835800647735596,0.022936617955565453,0.03779956325888634,0.027266028002947678,0.03610906411201179,0.031098010316875462,0.02918201915991157,0.03831982313927782,0.03187177597641857,4,3,0
flip__0025,flip__0033,flip,flip,0025,0033,0,0.005812885705381632,0.014396670274436474,0.010652542114257812,0.019577443599700928,0.036341942846775055,0.03389830508474576,0.07339719970523213,0.024907885040530583,0.01414885777450258,0.032424465733235076,0.03218128224023581,1,2,1
notflip__0020,notflip__0021,notflip,notflip,0020,0021,0,0.004294519778341055,0.004136348608881235,0.010569512844085693,0.026010790839791298,0.0414617694914341,0.018422991893883568,0.0058953574060427415,0.02431834929992631,0.04922623434045689,0.05335298452468681,0.03294767870302137,4,1,0
flip__0029,flip__0031,flip,flip,0029,0031,0,0.005769426468759775,0.006613264326006174,0.005946636199951172,0.030038759112358093,0.029266521334648132,0.03301400147383935,0.01606484893146647,0.00899042004421518,0.0843036109064112,0.01296978629329403,0.032962417096536474,5,2,0
flip__0049,flip__0057,flip,flip,0049,0057,0,0.005072819534689188,0.0041742101311683655,0.00646740198135376,0.030057759955525398,0.03420998156070709,0.025497420781134858,0.006190125276344879,0.010169491525423728,0.0847457627118644,0.024907885040530583,0.03296978629329403,1,1,1
flip__0023,notflip__0016,flip,notflip,0023,0016,0,0.006468296051025391,0.011061429046094418,0.015020132064819336,0.021530628204345703,0.03398692607879639,0.042446573323507736,0.0449521002210759,0.03920412675018423,0.02004421518054532,0.02431834929992631,0.033198231392778194,2,4,0
notflip__0048,notflip__0057,notflip,notflip,0048,0057,0,0.007694596890360117,0.0094531225040555,0.014770150184631348,0.021701626479625702,0.027466541156172752,0.06057479734708917,0.03316138540899042,0.038025055268975684,0.021665438467207074,0.008106116433308769,0.033551952837140755,9,3,0
notflip__0043,notflip__0045,notflip,notflip,0043,0045,0,0.0073557049036026,0.011944498866796494,0.003830254077911377,0.026037389412522316,0.027326488867402077,0.053647752394988944,0.0529108327192336,0.00397936624907885,0.04937361827560796,0.0079587324981577,0.03384672070744289,7,6,0
flip__0025,flip__0031,flip,flip,0025,0031,0,0.005152123514562845,0.012710637412965298,0.009608566761016846,0.025661194697022438,0.036160387098789215,0.026529108327192335,0.05969049373618276,0.020486366985998525,0.046720707442888726,0.031392778187177596,0.0341930729550479,2,3,1
flip__0035,notflip__0038,flip,notflip,0035,0038,0,0.00393115496262908,0.015460309572517872,0.032767534255981445,0.01937984488904476,0.030635956674814224,0.013559322033898305,0.0866617538688283,0.09992630803242447,0.013559322033898305,0.015770081061164332,0.034377302873986736,4,4,0
flip__0032,flip__0033,flip,flip,0032,0033,0,0.00811051856726408,0.008231050334870815,0.007179379463195801,0.022134823724627495,0.03129474073648453,0.06912306558585114,0.025055268975681652,0.012380250552689757,0.024465733235077378,0.017833456153279293,0.03445099484156227,2,3,1
